13822576,27,695651271
695651271,27,13822576
695651271,93,13822694
13822694,93,695651271
13822694,34,282909688
282909688,34,13822694
282909688,26,282909687
282909687,26,282909688
282909687,18,13822581
13822581,18,282909687
13822581,25,282909685
282909685,25,13822581
282909685,65,283590184
283590184,65,282909685
283590184,155,695651081
695651081,155,283590184
695651081,26,13823454
13823454,26,695651081
13823454,107,282909684
282909684,107,13823454
282909684,53,282909682
282909682,53,282909684
282909682,56,282909680
282909680,56,282909682
282909680,59,282909678
282909678,59,282909680
282909678,65,558644933
558644933,65,282909678
558644933,115,282909676
282909676,115,558644933
13822577,141,282909698
282909698,141,13822577
282909698,115,13823455
13823455,115,282909698
13823455,151,283586918
283586918,151,13823455
283586918,85,283586953
283586953,85,283586918
283586953,141,282219862
282219862,141,283586953
13823473,47,13823472
13823472,47,13823473
13823472,87,13823471
13823471,87,13823472
13823471,28,13823470
13823470,28,13823471
282664374,165,13822694
13822694,165,282664374
13822694,43,282664373
282664373,43,13822694
282664373,17,13822695
13822695,17,282664373
13822695,25,282189308
282189308,25,13822695
274260906,145,30376057
30376057,145,274260906
30376057,92,251689483
251689483,92,30376057
251689483,100,272798871
272798871,100,251689483
(206227622,93,206225875)
(206225875,94,26582144)
(26582144,88,320009722)
(320009722,132,206226387)
13823454,258,13823455
13823455,258,13823454
13823455,51,283586989
283586989,51,13823455
283586989,163,283586908
283586908,163,283586989
283586908,37,283586959
283586959,37,283586908
283586959,195,206369246
206369246,195,283586959
29782991,215,271131174
271131174,215,29782991
271131174,233,13822577
13822577,233,271131174
243378839,35,326089784
326089784,35,243378839
326089784,46,32063285
32063285,46,326089784
32063285,39,29783008
29783008,39,32063285
29783008,46,924156787
924156787,46,29783008
924156787,30,32063287
32063287,30,924156787
32063287,35,282754704
282754704,35,32063287
282754704,200,29783009
29783009,200,282754704
274232669,16,274232671
274232671,16,274232669
274232671,150,30371655
30371655,150,274232671
30371655,172,30377072
30377072,172,30371655
30377072,36,1086962559
1086962559,36,30377072
1086962559,13,274232677
274232677,13,1086962559
30371679,60,206267280
206267280,60,30371679
(206225999,54,206226000)
(206226000,230,32122059)
(32122059,83,206226001)
(206226001,63,206226002)
(206226002,90,206226003)
(206226003,123,32122066)
(32122066,204,206267283)
(206267283,54,32122082)
(32122082,280,30371694)
(30371694,150,30371700)
(356950562,38,1086962420)
(1086962420,27,30371849)
(30371849,27,30371852)
(30371852,50,30371856)
302374414,335,302374411
302374411,335,302374414
302374411,78,244397572
244397572,78,302374411
244397572,95,244397573
244397573,95,244397572
244397573,102,244397576
244397576,102,244397573
244397576,63,244397577
244397577,63,244397576
244397577,272,244397581
244397581,272,244397577
244397581,50,244397582
244397582,50,244397581
244397582,232,331048558
331048558,232,244397582
331048558,113,244397585
244397585,113,331048558
244397585,37,244397586
244397586,37,244397585
244397586,40,244397587
244397587,40,244397586
244397587,81,244397590
244397590,81,244397587
244397590,35,244397591
244397591,35,244397590
244397591,32,244397592
244397592,32,244397591
